[GIN] 2022/10/25 - 11:13:55 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:13:55 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:14:02 | 204 |       989.2µs |             ::1 | OPTIONS  "/vue-element-admin/routes"
[GIN] 2022/10/25 - 11:14:02 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/roles"
[GIN] 2022/10/25 - 11:14:02 | 404 |            0s |             ::1 | GET      "/vue-element-admin/routes"
[GIN] 2022/10/25 - 11:14:02 | 404 |            0s |             ::1 | GET      "/vue-element-admin/roles"
[GIN] 2022/10/25 - 11:14:50 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:14:50 | 200 |      1.7411ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:15:23 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:15:23 | 200 |      1.1941ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:15:24 | 200 |      1.1439ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:15:24 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:15:24 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:18:28 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:18:28 | 200 |      1.5324ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:18:32 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:18:32 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:18:33 | 200 |     51.6821ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:18:33 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:18:33 | 200 |       1.159ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:28:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:28:19 | 200 |      1.6955ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:28:26 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:28:26 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:28:51 | 200 |     51.6435ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:28:51 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:28:51 | 200 |      1.7012ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:29:04 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:29:04 | 200 |      1.3933ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:29:06 | 200 |         832µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:29:08 | 200 |     51.6677ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:30:09 | 200 |     51.2654ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:30:12 | 200 |     49.6657ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:30:33 | 200 |     51.7842ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:30:48 | 200 |       50.96ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:30:48 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:30:48 | 200 |       994.4µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:30:56 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:30:56 | 200 |        60.6µs |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:31:00 | 200 |      1.5936ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:01 | 200 |      1.5702ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:40 | 200 |     50.3699ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:40 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:31:40 | 200 |      1.6047ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:31:44 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:31:44 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:31:49 | 200 |      5.5649ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:50 | 200 |      1.6357ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:51 | 200 |      1.8383ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:51 | 200 |      1.6496ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:52 | 200 |      1.2207ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:52 | 200 |      1.6982ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:52 | 200 |      1.5034ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:31:52 | 200 |      1.3271ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:32:30 | 200 |       857.1µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:32:31 | 200 |      1.5166ms |             ::1 | POST     "/api/manager/login"
