[GIN] 2022/11/25 - 08:33:10 | 200 |    389.7734ms | 192.168.117.127 | POST     "/api/actuator/control"
[GIN] 2022/11/25 - 08:33:13 | 200 |       689.4µs | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:13 | 200 |      1.0645ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:14 | 200 |      1.9663ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:14 | 200 |      1.0709ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:18 | 200 |      1.0003ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:18 | 200 |      1.3221ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:19 | 200 |      1.5912ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:19 | 200 |      1.3584ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:32:11 | 204 |            0s | 192.168.117.127 | OPTIONS  "/api/auth/login"
[GIN] 2022/11/25 - 10:32:11 | 200 |      51.515ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 10:33:13 | 204 |       372.9µs | 192.168.117.127 | OPTIONS  "/api/auth/login"
[GIN] 2022/11/25 - 10:33:13 | 200 |     53.3488ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 10:49:36 | 200 |     52.2016ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 10:49:44 | 200 |     51.1417ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 10:49:53 | 200 |      1.6507ms | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 10:50:08 | 200 |     14.9009ms | 192.168.117.127 | POST     "/api/book/rent"
[GIN] 2022/11/25 - 10:50:08 | 200 |      1.7471ms | 192.168.117.127 | GET      "/api/book/all"
