[GIN] 2022/10/20 - 13:20:31 | 200 |     56.4149ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 13:20:35 | 200 |      7.0219ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:43 | 200 |     12.7142ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:43 | 200 |       749.5µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:45 | 200 |     12.0042ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:45 | 200 |       545.3µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:45 | 200 |       9.097ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:45 | 200 |       677.6µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:46 | 200 |      9.6436ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:46 | 200 |       680.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:47 | 200 |     11.4563ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:47 | 200 |      1.1885ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:47 | 200 |      8.9635ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:47 | 200 |       731.3µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:48 | 200 |      4.4388ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:48 | 200 |       885.8µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:48 | 200 |      9.3998ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:48 | 200 |       614.4µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:49 | 200 |      3.3873ms |    172.20.21.91 | POST     "/api/book/rent"
[GIN] 2022/10/20 - 13:20:49 | 200 |      1.8687ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:49 | 200 |      4.4643ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:49 | 200 |      1.0959ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:49 | 200 |      4.3294ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:49 | 200 |         730µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:49 | 200 |      3.6492ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:49 | 200 |       645.6µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      3.0153ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |       550.8µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      5.1109ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |      1.3063ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      4.2768ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |       544.1µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      4.6791ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |       711.9µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      3.9839ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |      1.1722ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:50 | 200 |      3.6128ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:50 | 200 |       1.075ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:51 | 200 |      3.5444ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:51 | 200 |       645.4µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:51 | 200 |      12.888ms |    172.20.21.91 | POST     "/api/book/return"
[GIN] 2022/10/20 - 13:20:51 | 200 |       626.9µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:20:51 | 200 |      3.9301ms |    172.20.21.91 | POST     "/api/book/return"
