[GIN] 2022/11/07 - 08:32:32 | 200 |      2.1236ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:35 | 200 |       1.829ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:35 | 200 |       1.223ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/11/07 - 08:32:37 | 200 |      1.4311ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/11/07 - 08:32:37 | 200 |      3.4022ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/humidity"
[GIN] 2022/11/07 - 08:32:37 | 200 |      3.4416ms |             ::1 | GET      "/api/sensor/total/humidity"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/light"
[GIN] 2022/11/07 - 08:32:37 | 200 |      4.1678ms |             ::1 | GET      "/api/sensor/total/light"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/lamp"
[GIN] 2022/11/07 - 08:32:37 | 200 |      4.6862ms |             ::1 | GET      "/api/sensor/total/lamp"
[GIN] 2022/11/07 - 08:32:37 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/fire"
[GIN] 2022/11/07 - 08:32:37 | 200 |       4.547ms |             ::1 | GET      "/api/sensor/total/fire"
[GIN] 2022/11/07 - 08:32:37 | 200 |      2.2225ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:40 | 200 |      1.5918ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:40 | 200 |      1.1855ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:42 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:42 | 200 |      1.3367ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:42 | 200 |      3.0394ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:42 | 200 |      1.4628ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:43 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/light/7"
[GIN] 2022/11/07 - 08:32:43 | 200 |      1.5358ms |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/07 - 08:32:44 | 200 |      1.9958ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:45 | 200 |        1.16ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:45 | 200 |      1.1101ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:46 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/fire/7"
[GIN] 2022/11/07 - 08:32:46 | 200 |      1.6371ms |             ::1 | GET      "/api/sensor/recent/fire/7"
[GIN] 2022/11/07 - 08:32:47 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:47 | 200 |      1.6845ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:47 | 200 |      1.7975ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:47 | 200 |      1.7522ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
